"","zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes","STATEFIPS","STATE","AGI_STUB","N1","MARS1","MARS2","MARS4","PREP","N2","NUMDEP","A00100","N00200","A00200","N00300","A00300","N00600","A00600","N00650","A00650","N00900","A00900","SCHF","N01000","A01000","N01400","A01400","N01700","A01700","N02300","A02300","N02500","A02500","N03300","A03300","N00101","A00101","N04470","A04470","N18425","A18425","N18450","A18450","N18500","A18500","N18300","A18300","N19300","A19300","N19700","A19700","N04800","A04800","N07100","A07100","N07220","A07220","N07180","A07180","N07260","A07260","N59660","A59660","N59720","A59720","N11070","A11070","N09600","A09600","N06500","A06500","N10300","A10300","N11901","A11901","N11902","A11902"
"1",94002,"STANDARD","Belmont","","","CA","San Mateo County","America/Los_Angeles","650,415",37.5,-122.3,NA,"US",0,23092,"",6,"CA",2,2020,1400,370,210,1010,3000,630,75183,1560,54221,750,902,500,2029,440,1206,310,5152,0,390,135,260,2735,380,6470,160,1318,420,3057,40,314,450,17008,450,9368,210,489,220,204,330,1460,440,2247,240,2717,330,626,1930,44151,560,453,220,221,60,31,0,0,150,215,100,135,130,150,0,0,1760,5145,1830,5920,460,833,1460,2771
"2",94002,"STANDARD","Belmont","","","CA","San Mateo County","America/Los_Angeles","650,415",37.5,-122.3,NA,"US",0,23092,"",6,"CA",6,2370,220,2080,50,1420,7140,2690,1043289,2240,778906,2100,10632,1760,21251,1700,14539,550,37178,0,1790,100005,240,9638,320,14414,190,1306,180,4237,200,5299,2350,1037206,2350,176868,2320,84762,0,0,2090,20913,2350,107331,1920,43445,2130,15683,2370,838440,1260,2611,0,0,480,229,90,101,0,0,0,0,0,0,1960,17977,2370,226866,2370,231096,1260,20262,870,8519
"3",94002,"STANDARD","Belmont","","","CA","San Mateo County","America/Los_Angeles","650,415",37.5,-122.3,NA,"US",0,23092,"",6,"CA",1,2820,2330,290,160,1320,2850,420,31902,1840,21295,840,835,650,1623,570,1011,490,4017,0,530,174,230,1578,360,2976,180,1352,160,331,0,0,350,4633,350,7863,90,298,200,127,250,1290,330,1758,170,2455,220,328,1390,8667,360,111,40,12,0,0,0,0,520,629,370,494,150,170,0,0,1150,813,1480,1446,490,459,1910,2219
"4",94002,"STANDARD","Belmont","","","CA","San Mateo County","America/Los_Angeles","650,415",37.5,-122.3,NA,"US",0,23092,"",6,"CA",3,1640,940,500,150,850,2730,590,100863,1310,73573,810,1179,540,2661,480,1800,270,4891,0,450,805,240,3128,360,9089,130,895,360,5568,0,0,570,35770,570,13646,400,1380,150,194,430,2372,570,4092,320,4245,470,1087,1600,68729,490,527,250,323,60,30,30,18,0,0,0,0,50,51,0,0,1560,9817,1590,10543,490,1057,1080,2781
"5",94002,"STANDARD","Belmont","","","CA","San Mateo County","America/Los_Angeles","650,415",37.5,-122.3,NA,"US",0,23092,"",6,"CA",4,1340,590,620,110,760,2610,650,116499,1090,83869,790,1263,530,2928,500,1851,280,6535,0,480,924,240,4185,330,9657,110,662,310,6070,30,473,810,71230,810,18246,710,3845,90,157,530,3018,810,7204,420,5867,630,1466,1330,83088,520,605,260,369,70,34,0,0,0,0,0,0,0,0,0,0,1310,12934,1320,13915,430,1356,830,2690
"6",94002,"STANDARD","Belmont","","","CA","San Mateo County","America/Los_Angeles","650,415",37.5,-122.3,NA,"US",0,23092,"",6,"CA",5,2910,690,2010,160,1580,7110,2200,413694,2510,311294,2160,4143,1600,10291,1510,7604,640,20836,0,1440,5895,470,11691,600,25967,270,2088,560,12530,110,1798,2470,357943,2470,80900,2370,21182,100,229,1980,14162,2470,36383,1750,31089,2070,5638,2900,301120,1290,1274,360,409,290,150,80,30,0,0,0,0,0,0,230,559,2890,54336,2890,57135,1000,4881,1710,8297
"7",94005,"STANDARD","Brisbane","","","CA","San Mateo County","America/Los_Angeles","415,650",37.68,-122.41,NA,"US",0,4345,"",6,"CA",3,350,210,100,60,200,610,160,21788,300,16673,180,161,90,263,80,163,70,1388,0,70,97,30,358,70,1777,30,203,50,725,0,0,150,9292,150,3174,120,363,40,55,120,538,150,956,110,1447,110,147,350,14755,110,135,70,99,40,19,0,0,0,0,0,0,0,0,0,0,340,2108,340,2313,100,295,250,634
"8",94005,"STANDARD","Brisbane","","","CA","San Mateo County","America/Los_Angeles","415,650",37.68,-122.41,NA,"US",0,4345,"",6,"CA",2,430,270,100,50,240,710,180,16261,350,12284,150,89,80,218,70,119,90,1334,0,70,-25,30,290,80,1501,40,329,80,505,0,0,100,3927,100,1982,70,135,30,26,80,342,100,531,70,829,70,108,420,9218,130,101,80,67,0,0,0,0,40,59,30,44,50,63,0,0,380,1064,400,1283,90,188,330,705
"9",94005,"STANDARD","Brisbane","","","CA","San Mateo County","America/Los_Angeles","415,650",37.68,-122.41,NA,"US",0,4345,"",6,"CA",6,360,50,290,0,260,1000,350,121255,350,95423,310,619,190,1294,190,867,50,3709,0,160,5379,30,1133,40,1553,0,0,0,0,0,0,340,117277,340,17395,340,9701,0,0,230,1561,340,11375,170,4236,180,920,360,100042,190,215,0,0,40,16,0,0,0,0,0,0,0,0,280,1785,360,26142,360,26630,150,2093,180,1291
"10",94005,"STANDARD","Brisbane","","","CA","San Mateo County","America/Los_Angeles","415,650",37.68,-122.41,NA,"US",0,4345,"",6,"CA",4,280,130,120,0,160,530,130,24077,250,19559,160,167,100,189,80,139,50,512,0,80,26,30,523,60,1632,30,210,40,714,0,0,180,16138,180,3904,170,903,0,0,130,603,180,1567,120,1604,140,257,280,17192,100,122,60,84,0,0,0,0,0,0,0,0,0,0,0,0,270,2716,280,2845,80,262,190,603
