zip,earthquake_index
94022,17.52
94023,17.52
94024,17.52
95015,19.32
95446,7.57
94005,31.14
95023,75.22
95024,75.22
95471,7.74
95686,4.3
94566,24.48
94588,24.48
94547,21.86
94925,15.71
94976,15.71
95008,36.34
95009,36.34
95011,36.34
94586,29.48
94061,17.24
94063,17.24
94064,17.24
94065,17.24
94511,8.96
94070,19.16
94802,41.09
94804,41.09
94805,41.09
94807,41.09
94808,41.09
94850,41.09
95330,5.29
95035,28.28
95036,28.28
94035,17.93
94039,17.93
94041,17.93
94042,17.93
94043,17.93
94587,27.37
94561,11.47
95018,14.24
95237,3.1
95452,14.38
94939,15.02
94977,15.02
95442,13.48
95441,10.96
94576,16.78
94957,13.65
94599,7.09
94574,17.62
95045,90.97
94970,13.14
94951,18.16
94536,27.24
94537,27.24
94538,27.24
94539,27.24
94555,27.24
94971,8.07
95066,26.8
95067,26.8
94083,30.12
94038,23.31
94972,7.17
94595,48.28
94596,48.28
94597,48.28
94598,48.28
94608,66.76
94662,66.76
95480,3.96
94942,14.34
94923,5.69
95001,19.91
94901,14.23
94912,14.23
94913,14.23
94915,14.23
94507,51.84
95430,7.43
94930,10.74
94978,10.74
95497,5.36
95050,31.85
95051,31.85
95052,31.85
95053,31.85
95054,31.85
95055,31.85
95056,31.85
95487,7.71
94026,20.46
95258,3.67
94514,14.33
94074,13.26
95401,61.16
95402,61.16
95403,61.16
95404,61.16
95405,61.16
95406,61.16
95407,61.16
95409,61.16
94037,27.57
95026,25.17
95030,32.39
95031,32.39
95032,32.39
95033,32.39
95336,4.8
95337,4.8
94013,97.97
94014,97.97
94015,97.97
94016,97.97
94017,97.97
94515,11.88
95436,9.8
95042,23.35
94560,21.99
94931,14.62
94582,48.05
94583,48.05
95005,12.59
95486,8.08
95240,3.78
95241,3.78
95242,3.78
94019,18.57
94513,16.51
94564,31.25
94010,24.39
94011,24.39
94517,31.92
94960,12.85
94979,12.85
94567,6.36
94509,19.86
94531,19.86
94701,74.09
94702,74.09
94703,74.09
94704,74.09
94705,74.09
94708,74.09
94709,74.09
94710,74.09
94712,74.09
94720,74.09
94956,10.19
95448,10.7
94030,30.25
94946,8.78
94965,16.58
94966,16.58
95220,3.54
94820,39.33
95019,37.8
94922,6.22
94568,27.72
94562,8.79
95010,26.24
94572,17.02
95366,4.28
94963,9.27
94548,10.64
95013,48.45
95201,4.57
95202,4.57
95203,4.57
95204,4.57
95205,4.57
95206,4.57
95207,4.57
95208,4.57
95209,4.57
95210,4.57
95212,4.57
95213,4.57
95215,4.57
95219,4.57
95267,4.57
95269,4.57
95296,4.57
