521,Wagner Ranch Elementary School,K-5,public,94563
3433,Vallecito Elementary School,K-5,public,94903
17562,Making Waves Academy,5-11,charter,94806
6741,Cave Language Academy,K-8,public,94591
12745,Holy Spirit,K-8,private,95120
5649,Almaden Elementary School,K-5,public,95118
6921,Willow Oaks Elementary School,K-8,public,94025
9440,Manteca Christian School,PK-8,private,95336
31196,Alpha: Jose Hernandez Middle School,6-8,charter,95122
9942,Wherry Academy,K-12,private,94063
8774,Hergl,K-12,private,94123
7020,Phoenix High (Continuation) School,9-12,public,94928
26947,AltSchool - Dogpatch,PK-1,private,94107
11904,Delaine Eastin Elementary School,K-5,public,94587
7023,Waldo Rohnert Intermediate School,3-5,public,94928
7119,Mesa High School,9-12,public,95401
5734,Aptos High School,9-12,public,95003
9501,St. Catherine Of Siena School,K-8,private,94591
3476,Tomales Elementary School,K-8,public,94971
66,American High School,9-12,public,94536
25208,One.Charter School,7-12,charter,95207
7057,Miwok Valley Language Academy Charter,K-6,charter,94954
5459,Oak Grove High School,9-12,public,95123
10344,Santa Cruz Children's School,K-6,private,95062
10293,Montessori School Of Fremont,PK-6,private,94539
16700,Trinity Christian School,1-12,private,95131
7091,Sebastopol Independent Charter School,K-8,charter,95473
25869,Bethel Christian Academy,K-12,private,94803
22457,Beginning Steps To Independence,n/a,private,95117
17663,Voices College-Bound Language Academy,K-8,charter,95111
8302,St. Basil's,K-8,private,94590
15580,St. Philip Lutheran School,PK-8,private,94568
15868,Spectrum Center-Fair Oaks Collaborative Camp,K-6,private,94523
5523,Los Gatos High School,9-12,public,95030
6580,Victor Elementary School,K-6,public,95253
30981,Pacific Law Academy,9-12,charter,95207
439,Knightsen Elementary School,K-8,public,94548
31105,Mary Casey Black Elementary,K-5,public,94513
8413,St. John the Baptist Catholic School,K-9,private,95448
6682,Matthew Turner Elementary School,K-5,public,94510
13409,Northcreek Academy & Preschool,PK-8,private,94598
3088,Loconoma Valley High School,9-12,public,95461
24516,St. Michael's Orthodox School,K-1, 3-5, 7-8,private,95407
14029,San Jose Community Middle School,6-8,public,95116
9047,Redwood Adventist Academy,K-12,private,95404
5693,Merritt Trace Elementary School,K-5,public,95126
15856,Families First-Rose Manning Youth,K-12,private,94523
9169,Meher Schools, The,K-5,private,94549
24503,Spectrum Center - Mission,n/a,private,94541
440,Burton Valley Elementary School,K-5,public,94549
31546,Central Valley Christian Academy,K-12,private,95336
17518,Learning Without Limits School,K-5,charter,94601
10043,Family Christian Academy,PK-12,private,94804
505,Valley View Middle School,6-8,public,94523
402,Acalanes High School,9-12,public,94549
6895,Pescadero Continuation High School,9-12,public,94060
9087,St. Mary's Elementary School,K-8,private,95030
6983,Baden High (Continuation) School,9-12,public,94080
30656,Journey High School,9-12,private,95472
8094,St. Anselm School,K-8,private,94960
15833,Shining Light Christian Academy,K-12,private,94580
26563,Cornerstone Academy Preparatory,K-6,charter,95122
5681,Pioneer High School,9-12,public,95118
31592,Waldorf School Of The Peninsula,6-12,private,94043
89,Tom Maloney Elementary School,K-6,public,94536
5741,H. A. Hyde Elementary School,K-5,public,95076
8490,San Francisco School, The,K-8,private,94134
11441,Living Hope Christian,K-12,private,94112
5527,Raymond J. Fisher Middle School,6-8,public,95032
24548,The Bay School,n/a,private,95062
14766,Leadership Preparatory High,9-12,public,94605
5492,Daniel Lairon Elementary School,3-8,public,95111
5441,R. I. Meyerholz Elementary School,K-5,public,95129
8208,Saint Elizabeth High School,9-12,private,94601
12572,Berkeley Technology Academy,10-12,public,94704
4930,Cienega Elementary School,K-8,public,95023
6988,Los Cerritos Elementary School,K-5,public,94080
246,Oakland Charter Academy,6-8,charter,94601
6638,Madison Elementary School,K-8,public,95204
9035,Mountain View Academy,9-12,private,94041
6558,Delta Sierra Middle School,7-8,public,95209
9098,St. Frances Cabrini Elementary School,PK-8,private,95124
8439,St. Luke School,K-8,private,95204
12075,Pacific Coast Charter School,K-12,charter,95076
12626,San Joaquin County Special Education School,K-12,public,95206
24463,Sacred Heart Schools, Atherton,K-12,private,94027
8148,Our Lady Of Perpetual Help,K-8,private,94014
16211,Real School Llc,6-8,private,94941
7087,Sheppard Elementary School,K-6,public,95407
15412,Grand Lake Montessori,K-1,private,94610
9439,Samuel N Hancock School,K-3, 6-12,private,95205
12074,Ernesto Galarza Elementary School,K-5,public,95125
4926,Anzar High School,9-12,public,95045
25489,Rocketship Discovery Prep,K-6,charter,95116
6399,Buena Vista/ Horace Mann K-8,K-8,public,94110
5679,John Muir Middle School,6-8,public,95118
9910,Sunnyvale Christian,K-5,private,94086
17773,Peter Pan Academy,K-3,private,94501
5401,Sierramont Middle School,6-8,public,95132
522,Rancho Medanos Junior High School,6-8,public,94565
30562,American Advanced Academy,K-9,private,94011
8128,St. Stephen School,K-8,private,94132
25872,California Educational Alternatives School,10-12,private,94509
26354,Lamb-O Academy, Incorporated,5-12,private,94085
6991,Parkway Heights Middle School,6-8,public,94080
318,Sunol Glen Elementary School,K-8,public,94586
6960,Borel Middle School,6-8,public,94402
27295,Anova Education - ACE Contra Costa,K-12,private,94519
14742,Canyon Oaks Elementary School,K-5,public,94503
11158,Wilson Alternative School,K-12,public,95050
617,Verde Elementary School,K-6,public,94801
23799,Paideia Academy,K-12,private,94509
8220,St. John Catholic School,PK-8,private,94580
14486,Renaissance Academy,6-8,public,95122
9436,Erikson School,6-12,private,94124
6419,Parker (Jean) Elementary School,K-5,public,94133
5430,Cupertino Middle School,6-8,public,94087
24717,Dozier-Libbey Medical High School,9-12,public,94531
11911,International Community School,K-5,public,94601
5502,Brownell Middle School,6-8,public,95020
3512,Bel Aire Park Elementary School,K-5,public,94558
8602,El Sobrante Christian School,K-12,private,94803
30976,Sequoia Community Day,9-12,public,94303
25023,Stockton Unified Early College Academy,9-12,charter,95202
31588,One World Montessori School,1-6,private,95136
11974,Willow Creek Academy,K-8,charter,94965
184,Allendale Elementary School,K-5,public,94619
261,Esperanza Elementary School,K-5,public,94603
5451,West Valley Elementary School,K-5,public,94087
14279,N.A. Chaderjian High,9-12,public,95213
23791,Above and Beyond Academy,K-12,private,94565
8250,Queen Of All Saints Elementary School,K-8,private,94520
13428,Happy Day Presbyterian,PK-1,private,94953
7030,Geyserville Middle School,6-8,public,95441
10044,Family Life Center/Larry M. Simmons High,7-12,private,94952
65,Anna Yates Elementary School,K-8,public,94608
3090,Middletown High School,9-12,public,95461
11280,Allaire School,1-9,private,94925
7085,Whited Elementary Charter School,K-6,charter,95409
31222,Anchor Education, Inc.,3-12,private,94546
