ZIP, avg_precipitation, N_avg_precipitation, renter_occupied, N_renter_occupied, earthquake_index, N_earthquake_index, pop_growth_rate, N_pop_growth_rate, avg_temperature, N_avg_temperature, poverty_Rate, N_poverty_Rate, parks, N_parks, crime_index, N_crime_index, female_labor, N_female_labor, coffeeshops, N_coffeeshops, restaurants, N_restaurants
94548, 13.22, 0.77, 0.22, 77.80, 10.64, 91.56, 0.82, 90.08, 61.50, 85.92, 29.60, 41.27, 5.00, 12.50, 0.00, 100.00, 0.50, 49.70, 0.00, 0.00, 13.00, 32.50
95212, NA, NA, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, NA, NA, 11.10, 77.98, 2.00, 5.00, 4003.00, 34.01, 0.57, 56.90, 0.00, 0.00, 0.00, 0.00
95625, 25.87, 29.46, NA, NA, NA, NA, NA, NA, 62.07, 92.12, 0.00, 100.00, 6.00, 15.00, NA, NA, NA, NA, 0.00, 0.00, 20.00, 50.00
95210, NA, NA, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, NA, NA, 25.50, 49.40, 1.00, 2.50, 4003.00, 34.01, 0.57, 56.90, 0.00, 0.00, 0.00, 0.00
95620, 21.86, 20.37, NA, NA, NA, NA, NA, NA, 62.34, 95.05, 9.50, 81.15, 0.00, 0.00, NA, NA, NA, NA, 0.00, 0.00, 0.00, 0.00
94615, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, NA, NA, 4.00, 10.00, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 18.00, 45.00
94614, 20.81, 17.98, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, 57.49, 42.23, NA, NA, 15.00, 37.50, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 18.00, 45.00
94617, 23.96, 25.12, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, 59.17, 60.58, NA, NA, 40.00, 100.00, 5091.00, 16.07, 0.60, 60.50, 11.00, 27.50, 40.00, 100.00
94611, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 8.00, 84.13, 8.00, 20.00, 5091.00, 16.07, 0.60, 60.50, 1.00, 2.50, 27.00, 67.50
94610, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 6.70, 86.71, 38.00, 95.00, 5091.00, 16.07, 0.60, 60.50, 8.00, 20.00, 40.00, 100.00
94613, 26.69, 31.31, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 0.00, 100.00, 6.00, 15.00, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 25.00, 62.50
94612, 23.96, 25.12, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, 59.17, 60.58, 29.80, 40.87, 40.00, 100.00, 5091.00, 16.07, 0.60, 60.50, 12.00, 30.00, 40.00, 100.00
94619, 26.69, 31.31, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 9.80, 80.56, 5.00, 12.50, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 1.00, 2.50
94618, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 7.30, 85.52, 7.00, 17.50, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 3.00, 7.50
94578, NA, NA, 0.42, 58.20, 56.46, 43.52, 0.07, 95.78, NA, NA, 14.80, 70.63, 3.00, 7.50, 2533.00, 58.24, 0.63, 62.70, 0.00, 0.00, 40.00, 100.00
94579, 18.04, 11.70, 0.42, 58.20, 56.46, 43.52, 0.07, 95.78, 58.84, 56.95, 7.10, 85.91, 4.00, 10.00, 2533.00, 58.24, 0.63, 62.70, 0.00, 0.00, 15.00, 37.50
94570, NA, NA, 0.15, 85.10, 51.95, 48.25, -0.05, 96.67, NA, NA, NA, NA, 16.00, 40.00, 498.00, 91.79, 0.49, 49.20, 1.00, 2.50, 40.00, 100.00
94571, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 7.20, 85.71, 0.00, 0.00, NA, NA, NA, NA, 0.00, 0.00, 0.00, 0.00
94572, NA, NA, 0.34, 65.90, 17.02, 84.87, -0.00, 96.33, NA, NA, 10.80, 78.57, 0.00, 0.00, 0.00, 100.00, 0.58, 58.30, 0.00, 0.00, 1.00, 2.50
94573, 35.22, 50.63, 0.52, 48.10, 11.23, 90.94, -0.14, 97.37, 59.74, 66.71, 0.00, 100.00, 3.00, 7.50, 0.00, 100.00, 0.73, 73.10, 0.00, 0.00, 27.00, 67.50
94574, 39.60, 60.58, 0.44, 55.80, 17.62, 84.24, -0.02, 96.47, 59.25, 61.37, 6.80, 86.51, 0.00, 0.00, 682.00, 88.76, 0.53, 53.20, 0.00, 0.00, 2.00, 5.00
94575, NA, NA, 0.15, 85.10, 51.95, 48.25, -0.05, 96.67, NA, NA, NA, NA, 17.00, 42.50, 498.00, 91.79, 0.49, 49.20, 3.00, 7.50, 40.00, 100.00
94576, 39.60, 60.58, 0.38, 61.90, 16.78, 85.12, -0.12, 97.18, 59.25, 61.37, 0.00, 100.00, 2.00, 5.00, 0.00, 100.00, 0.68, 67.70, 0.00, 0.00, 2.00, 5.00
94577, 20.81, 17.98, 0.42, 58.20, 56.46, 43.52, 0.07, 95.78, 57.49, 42.23, 8.50, 83.13, 12.00, 30.00, 2533.00, 58.24, 0.63, 62.70, 1.00, 2.50, 35.00, 87.50
94808, NA, NA, 0.44, 55.80, 41.09, 59.64, 0.05, 95.96, NA, NA, NA, NA, 16.00, 40.00, 3875.00, 36.12, 0.61, 61.10, 1.00, 2.50, 40.00, 100.00
95132, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 9.20, 81.75, 5.00, 12.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 10.00, 25.00
95131, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 6.40, 87.30, 8.00, 20.00, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 40.00, 100.00
95130, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 6.60, 86.90, 5.00, 12.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 30.00, 75.00
95136, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 8.10, 83.93, 7.00, 17.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 14.00, 35.00
95135, 26.13, 30.04, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, 54.52, 9.90, 5.10, 89.88, 1.00, 2.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 1.00, 2.50
95134, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 6.20, 87.70, 7.00, 17.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 1.00, 2.50
94801, 24.93, 27.32, NA, NA, NA, NA, NA, NA, 58.52, 53.41, 25.50, 49.40, 2.00, 5.00, NA, NA, NA, NA, 0.00, 0.00, 1.00, 2.50
94802, NA, NA, 0.44, 55.80, 41.09, 59.64, 0.05, 95.96, NA, NA, NA, NA, 2.00, 5.00, 3875.00, 36.12, 0.61, 61.10, 0.00, 0.00, 20.00, 50.00
94803, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 7.20, 85.71, 4.00, 10.00, NA, NA, NA, NA, 0.00, 0.00, 1.00, 2.50
94804, 24.93, 27.32, 0.44, 55.80, 41.09, 59.64, 0.05, 95.96, 58.52, 53.41, 19.10, 62.10, 3.00, 7.50, 3875.00, 36.12, 0.61, 61.10, 0.00, 0.00, 13.00, 32.50
94805, 24.93, 27.32, 0.44, 55.80, 41.09, 59.64, 0.05, 95.96, 58.52, 53.41, 10.80, 78.57, 4.00, 10.00, 3875.00, 36.12, 0.61, 61.10, 0.00, 0.00, 40.00, 100.00
94806, 24.93, 27.32, NA, NA, NA, NA, NA, NA, 58.52, 53.41, 16.50, 67.26, 10.00, 25.00, NA, NA, NA, NA, 0.00, 0.00, 40.00, 100.00
94807, NA, NA, 0.44, 55.80, 41.09, 59.64, 0.05, 95.96, NA, NA, NA, NA, 13.00, 32.50, 3875.00, 36.12, 0.61, 61.10, 1.00, 2.50, 40.00, 100.00
95054, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, 6.70, 86.71, 10.00, 25.00, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 28.00, 70.00
95055, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, NA, NA, 8.00, 20.00, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 40.00, 100.00
95056, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, NA, NA, 7.00, 17.50, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 25.00, 62.50
95050, 14.90, 4.58, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, 61.49, 85.83, 11.20, 77.78, 22.00, 55.00, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 40.00, 100.00
95051, NA, NA, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, NA, NA, 6.00, 88.10, 7.00, 17.50, 1207.00, 80.10, 0.60, 60.30, 1.00, 2.50, 40.00, 100.00
95052, 14.90, 4.58, 0.51, 48.90, 31.85, 69.32, 0.14, 95.26, 61.49, 85.83, NA, NA, 31.00, 77.50, 1207.00, 80.10, 0.60, 60.30, 3.00, 7.50, 40.00, 100.00
