"X.IncMSE","IncNodePurity","names"
25.0467861808568,347959417117.795,"income"
17.2444247483893,178717713965.703,"unemployment_rate"
5.6364589936995,125510344914.33,"Transportation_and_Warehousing"
5.24009555658328,33178816892.4961,"Parks"
4.68561622492579,23739888067.7566,"Educational_Services"
3.15972298465256,12089707321.8609,"renter_occupied"
2.50314730442448,9732827183.61764,"Accommodation_and_Food_Services"
1.82769641316277,3754154826.85553,"Industries_not_classified"
1.2699409871324,4460843330.3614,"Real_Estate_and_Rental_and_Leasing"
1.18623550625065,1620511334.75166,"Utilities"
0.948018449948668,4003444898.87379,"Administrative_and_Support_and_Waste_Management_and_Remediation_Services"
0.891354639891816,2224074658.22177,"Ozone"
0.729052521082652,5484777453.92596,"avg_precipitation"
0.673672668135113,18018348720.5141,"Poverty_Rate"
0.551459688980016,18236583109.911,"pop_growth_rate"
0.464142801275765,15315716658.8803,"Agriculture._Forestry._Fishing_and_Hunting"
0.314621825948182,2043976163.41781,"Restaurants"
0.139629373927227,14317906166.487,"avg_temperature"
0.0972366432487244,11525604902.2168,"Other_Services_.except_Public_Administration."
-0.0975490578286104,4661405179.95729,"Retail_Trade"
-0.111186352871477,9080331901.30079,"Construction"
-0.213727581206278,2565206757.90274,"Coffeeshops"
-0.306736496931468,2340463613.25151,"Management_of_Companies_and_Enterprises"
-0.437419456654177,4470786619.77015,"Arts._Entertainment._and_Recreation"
-0.762171563858282,15814210580.2342,"Finance_and_Insurance"
-0.840948311995044,10500219753.1983,"female_labor"
-1.068971502831,13013525065.6681,"PM2.5"
-1.25644042237881,5740027386.0153,"Information"
-1.71147822058962,12122248397.109,"crime_index"
-1.85295972849473,6199248310.38302,"Professional._Scientific._and_Technical_Services"
-1.89709760755377,834817828.976156,"Mining._Quarrying._and_Oil_and_Gas_Extraction"
-1.98226911891763,6811377507.90893,"zip"
-2.45530491080057,1202020609.79902,"Total_for_all_sectors"
-2.69649734886655,4657298083.78589,"Health_Care_and_Social_Assistance"
-2.83306159335346,22067506166.0106,"Manufacturing"
-3.2524774437965,8808239264.64361,"Wholesale_Trade"
-3.50609109731159,12726424122.2884,"earthquake_index"
