#ZIP,Avg_Median_Home_Price
94109,939562.50
94565,295316.67
94501,707729.17
94110,1131621.23
94558,489250.00
94533,267695.83
94536,675208.33
94544,409227.27
94122,1002017.06
94509,277591.67
95687,312997.92
95076,426110.71
94538,604058.33
95123,601158.33
94541,414254.17
94587,565366.67
95014,1546112.65
94080,659836.36
95051,812266.67
95125,901158.33
94087,1401611.18
94112,763312.50
94806,293620.83
95035,671833.33
94591,317197.92
94513,444675.00
94553,424229.17
94015,631681.82
94086,950729.17
94568,652654.17
95112,523552.55
95008,866354.17
94115,1235569.95
94117,1251588.24
94121,1237601.10
95207,170216.67
94611,780440.00
94577,423236.25
95060,703761.37
95020,573375.00
95206,192045.83
94118,1594541.29
94546,542908.33
94550,653379.17
95403,415089.58
94114,1439009.12
95124,870583.33
94010,1795475.47
94590,208270.83
94403,914951.61
94102,555750.00
94066,627084.38
94605,426000.00
94539,1119166.67
95404,516597.92
94610,494416.67
94601,356813.08
95336,260833.33
94566,930543.29
94928,357687.50
95376,322295.83
94521,486908.33
94025,1561659.09
95127,520520.83
95136,655881.25
95476,550500.00
95240,213572.03
94901,810459.69
95037,693854.17
95062,661067.35
94606,404461.54
95111,485791.67
95050,731609.06
94116,1030564.41
94107,931777.27
94608,440581.14
94804,300850.00
94044,688859.09
95023,410113.64
94404,862418.18
95126,622575.00
94578,417775.79
94523,556725.00
94040,1144470.88
94123,1980429.05
94551,534206.25
94303,850804.26
95129,1238194.88
94583,746133.33
94103,843154.41
94582,886866.67
95128,628790.91
94954,505600.89
94560,580810.42
94061,953419.66
94401,655350.00
94131,1188151.09
94531,345125.00
94014,630527.29
95401,381897.54
94520,331228.47
94534,408100.00
95116,425399.70
94133,NA
94526,899008.33
94952,573172.04
94043,892116.91
94561,334845.83
95688,383266.67
95209,246703.75
94941,1222875.00
95407,335676.20
94070,1276082.58
95120,1232104.17
95409,509701.43
94903,685687.50
94588,761554.17
95122,435661.65
95070,1965450.00
94602,713817.97
95132,721855.29
94510,471791.67
95204,170606.65
95210,158322.62
94134,620930.19
94306,2107470.93
95148,711041.67
94002,1255381.85
95118,738633.33
94530,699812.09
94549,1165102.43
95472,612902.94
94598,759268.75
95337,317750.00
95205,96235.29
94607,428250.00
94597,537842.65
94559,486440.08
94132,625000.00
94555,753441.67
95219,299045.25
95032,1296500.00
95117,716294.12
95492,482177.97
94596,589562.50
94402,1343088.40
95134,NA
94609,743444.57
94062,1529868.89
95003,678291.67
94545,439717.19
94585,286812.50
94518,477383.92
94063,NA
94603,267202.88
94595,580647.92
95242,288385.42
94124,520000.00
94619,539641.18
95405,451716.67
94589,240783.72
95121,556074.54
94621,225016.67
94801,257392.16
94947,590672.22
94803,388840.16
94612,NA
95131,654533.82
94580,441971.18
94030,1193914.68
94703,NA
94547,401680.54
95377,396300.00
95054,774583.18
94085,745512.13
94706,631433.33
94024,2480934.29
94506,1116466.67
95448,501711.76
95133,587058.91
94089,797647.06
94702,657022.78
94301,2701666.67
94127,1246580.88
94564,400319.92
94108,NA
95620,335226.45
94618,996298.53
95212,278576.76
94563,1315701.47
94022,2877179.41
95135,820179.41
94949,698269.71
94579,483833.33
94519,412131.16
94041,1279500.00
95215,NA
94945,637420.66
95366,338108.62
94705,1338823.53
94019,870060.33
94503,407076.92
95110,469358.33
95330,293107.52
94960,980425.53
94920,1770562.50
94507,1409216.06
94965,850000.00
95138,923426.02
94556,1013653.92
95010,406000.00
94709,NA
94505,455458.33
95066,720357.47
95203,145000.00
95030,2018065.26
94805,329411.76
94707,1085000.00
94105,1092249.24
94904,1382056.30
94502,720181.18
94065,848307.69
94517,656955.20
94552,753425.34
95130,NA
94542,625000.00
95073,NA
94708,1115000.00
95425,382647.06
95006,348846.15
95320,NA
94571,270925.88
94574,NA
94931,NA
95391,440471.69
95304,NA
95018,NA
94925,925000.00
94930,525000.00
94939,NA
95033,NA
94158,1300000.00
94515,NA
95446,358750.00
95436,NA
94572,NA
95065,NA
95119,714254.90
95019,NA
94710,NA
95005,NA
94028,2434615.38
94027,NA
95258,NA
95046,NA
94111,NA
95139,576470.59
95236,NA
94005,NA
94951,NA
95442,NA
95045,NA
94037,NA
94923,NA
94104,NA
95497,661750.00
