#ZIP,Unemployment_Rate
94548,10.20
95212,13.50
95625,0.00
95210,19.60
95620,10.50
94615,NA,NA
94614,NA,NA
94617,NA,NA
94611,6.20
94610,7.20
94613,17.10
94612,14.10
94619,9.60
94618,7.30
94578,11.10
94579,11.10
94570,NA,NA
94571,24.10
94572,10.90
94573,0.00
94574,4.70
94575,20.20
94576,0.00
94577,11.10
94808,NA,NA
95132,9.60
95131,11.60
95130,7.50
95136,10.50
95135,9.90
95134,6.40
94801,13.10
94802,NA,NA
94803,8.80
94804,11.70
94805,12.40
94806,14.80
94807,NA,NA
95054,7.70
95055,NA,NA
95056,NA,NA
95050,8.00
95051,9.70
95052,NA,NA
95053,14.40
94974,NA,NA
94975,NA,NA
94976,NA,NA
94977,NA,NA
94509,15.10
94508,6.90
94972,0.00
94973,6.20
94505,10.60
94507,5.20
94506,6.50
94501,9.60
94979,NA,NA
94503,10.60
94502,5.70
95416,NA,NA
95412,10.80
95419,NA,NA
94028,3.40
94022,5.10
94023,NA,NA
94020,3.00
94021,0.00
94026,NA,NA
94027,7.90
94024,6.70
94025,7.10
94596,6.50
94597,7.30
94595,10.40
94592,16.30
94590,19.00
94591,13.70
94598,7.40
94599,10.70
95071,NA,NA
94659,NA,NA
94154,NA,NA
94155,NA,NA
94152,NA,NA
94153,NA,NA
94150,NA,NA
94151,NA,NA
94158,4.70
94159,NA,NA
95688,10.50
95173,NA,NA
95172,NA,NA
95170,NA,NA
94541,16.00
94540,NA,NA
95018,6.20
95019,17.30
94543,NA,NA
94542,12.00
94545,12.80
94544,13.70
94547,7.00
94546,9.70
95010,7.20
95011,NA,NA
95013,0.00
95014,7.70
95015,NA,NA
95017,11.30
94938,8.10
94939,9.60
94930,5.70
94931,13.10
94933,13.70
94937,2.30
95450,19.10
94188,NA,NA
95452,15.80
95304,9.80
95269,NA,NA
95267,NA,NA
95065,5.80
95064,11.40
95067,NA,NA
95066,7.80
95061,NA,NA
95060,9.00
95063,NA,NA
95062,9.00
94949,9.50
94948,NA,NA
94945,7.20
94947,7.00
94946,2.80
94941,6.70
94940,9.20
94942,NA,NA
95439,0.00
95425,7.90
95421,10.00
95117,9.70
94118,7.00
94119,NA,NA
94112,10.90
94110,7.90
94111,12.30
94116,8.20
94117,6.00
94114,6.00
94115,6.20
94533,13.20
95430,NA,NA
95431,60.90
95133,13.50
94606,13.50
94607,16.20
94604,NA,NA
94605,16.60
94602,8.60
94603,18.10
94601,16.60
95236,8.20
94608,10.10
94609,10.10
95205,21.40
95237,13.00
95139,10.90
95138,8.50
95492,8.70
95201,NA,NA
95203,17.70
95202,34.90
95128,10.10
95129,7.00
95124,9.20
95125,8.40
95126,11.20
95127,12.60
95120,7.20
95121,14.10
95122,13.60
95123,10.10
94998,NA,NA
94999,NA,NA
95021,NA,NA
95020,12.10
94309,NA,NA
95024,NA,NA
95026,NA,NA
94303,10.90
94302,NA,NA
94301,6.10
94306,6.80
94305,4.50
94304,3.00
94901,8.80
94903,6.40
94904,7.20
94518,10.20
94519,11.60
94516,7.80
94517,9.10
94514,15.70
94515,2.60
94512,0.00
94513,9.00
94510,7.80
94511,13.30
95462,11.50
95465,6.90
94017,NA,NA
94016,NA,NA
94015,10.10
94014,9.50
94013,NA,NA
95231,29.00
94011,NA,NA
94010,6.30
94019,7.90
94018,NA,NA
95337,15.80
95336,16.30
95330,15.30
94163,NA,NA
94162,NA,NA
94161,NA,NA
94649,NA,NA
94164,NA,NA
95160,NA,NA
95161,NA,NA
95164,NA,NA
94709,6.50
94708,5.00
94707,4.50
94706,6.50
94705,5.50
94704,13.70
94703,9.10
94702,7.00
94701,NA,NA
94497,NA,NA
94160,NA,NA
94552,9.10
94553,11.20
94550,6.20
94551,7.90
94556,6.20
94557,NA,NA
94555,7.80
94970,0.00
94558,9.40
94559,10.40
94971,9.10
95115,NA,NA
94820,NA,NA
95116,12.70
95111,15.20
95110,10.20
95113,10.30
95112,13.10
95119,7.90
95118,8.60
94978,NA,NA
94199,NA,NA
95377,11.60
95376,15.30
95378,NA,NA
95076,11.20
94538,8.60
95075,5.70
95073,7.30
95070,6.90
94539,6.90
94956,2.50
94957,6.00
94954,8.20
94955,NA,NA
94952,9.50
94953,NA,NA
94950,0.00
94951,6.40
95403,11.00
94127,6.10
94126,NA,NA
94125,NA,NA
94124,16.20
94123,7.00
94122,7.10
94121,7.70
94120,NA,NA
95436,14.70
95433,NA,NA
94129,1.50
94128,0.00
95209,15.10
95208,NA,NA
94044,7.50
95204,14.60
95207,19.30
95206,20.60
94040,6.60
94041,7.90
94042,NA,NA
94043,8.60
95023,12.90
94569,0.00
94568,6.60
94064,NA,NA
95480,NA,NA
95487,NA,NA
95486,0.00
95296,NA,NA
95297,NA,NA
95159,NA,NA
95158,NA,NA
95151,NA,NA
95150,NA,NA
95153,NA,NA
95152,NA,NA
95155,NA,NA
95154,NA,NA
95157,NA,NA
95156,NA,NA
95032,6.30
95033,10.00
95030,7.20
95031,NA,NA
95036,NA,NA
95037,9.80
95035,9.10
95038,NA,NA
94912,NA,NA
94913,NA,NA
94529,NA,NA
94528,0.00
94914,NA,NA
94915,NA,NA
94523,8.60
94522,NA,NA
94521,10.80
94520,12.20
94527,NA,NA
94526,8.40
94525,6.80
94524,NA,NA
94850,NA,NA
95472,8.40
95473,NA,NA
95471,11.40
95476,9.40
95241,NA,NA
95240,16.10
94002,7.20
95242,13.10
94005,10.20
95320,12.40
95220,11.80
95687,9.40
95686,22.10
95227,0.00
94074,0.00
94070,8.10
94175,NA,NA
94177,NA,NA
94171,NA,NA
94172,NA,NA
95391,15.50
94710,8.70
95194,NA,NA
94712,NA,NA
95196,NA,NA
95191,NA,NA
95190,NA,NA
95193,NA,NA
95192,NA,NA
95234,0.00
94404,7.10
94401,11.20
94402,5.60
94403,6.20
94567,12.10
94566,8.30
94565,13.90
94564,9.00
94563,5.10
94562,NA,NA
94561,12.70
94560,8.90
95106,NA,NA
95103,NA,NA
95101,NA,NA
95108,NA,NA
95109,NA,NA
95366,8.10
95409,9.30
95043,7.10
95042,NA,NA
95041,6.40
95046,13.10
95045,23.60
95044,NA,NA
95077,NA,NA
94963,0.00
94960,6.80
94966,NA,NA
94965,11.10
94964,0.00
94109,6.70
94130,12.30
94131,6.50
94132,11.00
94133,8.10
94134,12.90
94135,NA,NA
94136,NA,NA
94137,NA,NA
94138,NA,NA
94139,NA,NA
95401,13.50
95407,12.60
95406,NA,NA
95405,10.50
95404,9.90
94039,NA,NA
94038,3.50
95219,10.40
94030,7.00
95215,24.20
94035,NA,NA
95213,NA,NA
94037,1.60
95211,9.70
94585,10.50
94587,9.40
94586,4.30
94581,NA,NA
94580,12.30
94583,8.00
94582,6.10
94589,17.10
94588,7.60
94156,NA,NA
94145,NA,NA
94144,NA,NA
94147,NA,NA
94146,NA,NA
94141,NA,NA
94140,NA,NA
94143,NA,NA
94142,NA,NA
94624,NA,NA
94625,NA,NA
95497,0.00
94620,NA,NA
94621,17.20
94622,NA,NA
94623,NA,NA
94720,29.50
95148,10.10
95140,13.80
95141,NA,NA
94088,NA,NA
94089,10.00
94080,8.60
94083,NA,NA
94085,11.00
94086,9.10
94087,6.60
94534,6.40
94535,11.60
94536,8.80
94537,NA,NA
94530,9.00
94531,12.70
95009,NA,NA
95008,7.80
95007,7.40
95006,8.70
95005,10.80
95003,8.90
95002,13.30
95001,NA,NA
94929,0.00
94928,10.90
94927,NA,NA
94926,NA,NA
94925,5.20
94924,12.50
94923,2.70
94922,10.90
94920,8.60
95448,9.10
95446,14.40
95444,5.30
95442,6.70
95441,5.10
95253,NA,NA
95402,NA,NA
95258,12.70
95696,NA,NA
94660,NA,NA
94661,NA,NA
94662,NA,NA
94666,NA,NA
94066,7.80
94108,9.30
94549,6.20
94065,7.30
94062,4.50
94063,10.60
94060,9.80
94061,7.00
94101,NA,NA
94103,9.80
94102,9.30
94105,2.80
94104,10.30
94107,7.50
94106,NA,NA
