zip,Median House Price (May 2015),Ozone,PM2.5,Parks,Coffeeshops,Restaurants,AVERAGE of Temperature (1981-2010 Annual Average) in F,AVERAGE of Precipitation (1981-2010 Annual Total) in Inches
95203,145000,27,30,8,0,13,,
95210,171100,27,30,1,0,0,,
95204,181000,27,30,6,0,19,,
95206,185850,27,30,1,0,1,61.31666667,14.06
95207,193450,27,30,2,0,40,62.21666667,17.77
95240,205500,,,0,0,0,61.23333333,19.02
94590,210500,,,18,1,40,56.39166667,20.39
95209,248550,27,30,1,0,1,,
94589,256975,,,1,0,0,58.0125,24.05
95336,269750,,,1,0,1,61.31666667,14.06
94533,281300,,,5,0,40,60.98333333,24.81
94571,282941.1765,,,0,0,0,,
95212,283250,27,30,2,0,0,,
95242,285225,,,0,0,0,61.23333333,19.02
94801,292000,,,2,0,1,58.51666667,24.93
95330,294000,,,4,0,30,,
94585,295300,,,0,0,0,60.98333333,24.81
94509,303300,,,1,0,28,61.5,13.22
95219,304100,27,30,0,0,0,,
94565,305925,25,16,2,0,2,,
94803,308461.5385,,,4,0,1,,
95687,321675,25,15,2,0,0,61.98125,25.3
95337,327750,,,0,0,0,,
94806,330700,,,10,0,40,58.51666667,24.93
94561,335800,,,0,0,0,61.5,13.22
95376,341200,,,9,1,40,61.8875,12.965
95366,343800,,,5,0,11,,
94804,345150,,,3,0,13,58.51666667,24.93
95620,353450,25,15,0,0,0,62.3375,21.865
94591,353650,,,4,0,2,,
94531,366750,,,5,0,7,61.5,13.22
94520,368775,25,16,1,0,1,60.22777778,18.27
94928,383750,21,13,19,0,40,,
95688,396950,25,15,0,0,0,62.06833333,25.874
94607,401200,24,23,5,0,11,59.175,23.96
95377,408250,,,0,0,0,,
95401,410500,21,13,12,0,4,57.61666667,36.28
94534,410650,,,2,0,1,60.30833333,26.26
94564,420588.2353,,,17,1,40,,
94547,426000,,,17,0,40,,
95425,435000,,,2,0,16,60.21666667,44.62
94541,438050,23,5,4,1,35,58.84166667,18.04
94519,438900,25,16,1,0,7,61.12916667,17.29
95391,439200,,,0,0,1,62.79166667,12.88
94608,441150,24,23,39,4,40,,
94505,445650,,,5,0,18,62.79166667,12.88
95076,447625,,,2,0,13,57.2625,21.885
95403,447825,21,13,3,0,17,57.61666667,36.28
95405,454225,21,13,22,0,14,59.19166667,32.2
94513,458250,29,16,7,0,40,61.5,13.22
95116,458648.7,32,23,9,1,40,,
94544,459500,23,5,2,0,25,58.84166667,18.04
95122,460500,32,23,2,0,33,,
95448,460705.8824,21,13,1,0,6,59.84166667,47.4325
94580,465050,23,5,17,1,40,58.84166667,18.04
94510,469300,,,1,0,0,58.425,20.23
94553,470000,25,16,3,0,2,60.22777778,18.27
94605,486700,24,23,5,0,4,,26.69
94521,490400,25,16,2,0,28,,
95111,491750,32,23,5,0,33,,
95492,514150,21,13,4,1,25,59.12916667,41.49666667
94597,514250,25,16,6,0,7,,
94558,516500,26,8,7,1,40,58.77916667,27.685
94577,526635,,,12,1,35,57.49166667,20.81
95110,532450,32,23,6,1,32,61.49166667,14.9
95127,532750,32,23,1,0,3,,
94954,534975,21,13,0,0,1,58.15,26.65
95404,544750,21,13,2,0,0,59.19166667,32.2
94518,567050,25,16,4,0,14,61.12916667,17.29
94551,568750,29,16,1,0,1,60.00416667,15.47
95409,580500,21,13,5,0,1,,
94587,581500,23,5,6,0,26,59.65,15.885
94134,585000,22,9,11,0,40,,
94523,588125,25,16,8,2,16,60.22777778,18.27
94952,589500,22,22,15,1,40,58.15,26.65
95112,593250,32,23,39,4,40,61.49166667,14.9
94546,601800,23,5,1,0,3,,
95121,603750,32,23,5,1,39,54.525,26.13
94619,604411.7647,24,23,5,0,1,,26.69
95472,607900,21,13,3,0,2,57.25833333,42.28
95476,612250,21,13,3,0,1,58.80833333,31.43
95020,620550,32,23,2,0,40,60.675,20.54
94560,621725,23,5,4,0,6,59.65,15.885
95126,633650,32,23,14,1,40,,
94595,648525,25,16,7,0,1,,
94945,651035,22,22,1,0,1,,
94596,655300,25,16,3,0,1,,
94947,660800,22,22,1,0,0,,
94517,670882.3529,25,16,1,0,0,58.7,25.04
