Zip Code,Median List Price,Median Sale Price,Median Single Family Home Value,Median 2-Bedroom Home Value,Median 3-Bedroom Home Value,Median 4-Bedroom Home Value,Median Condo Value,Median List Price Per Sq Ft,forsale
95215,0,55000,135700,108000,0,183600,0,125,http://www.zillow.com/garden-acres-ca-95215/
95213,0,0,0,0,0,0,0,0,http://www.zillow.com/stockton-ca-95213/
95436,0,420000,417000,378700,533100,637600,0,375,http://www.zillow.com/forestville-ca-95436/
95378,0,0,0,0,0,0,0,0,http://www.zillow.com/tracy-ca-95378/
94401,0,633900,857800,757800,840200,965400,575200,648,http://www.zillow.com/san-mateo-ca-94401/
94569,0,0,0,0,0,0,0,0,http://www.zillow.com/port-costa-ca-94569/
95376,0,341200,331100,222600,312000,371800,0,202,http://www.zillow.com/tracy-ca-95376/
94567,189500,0,0,0,0,0,0,0,http://www.zillow.com/pope-valley-ca-94567/
94566,0,986700,1013200,611000,839800,1035600,518400,491,http://www.zillow.com/pleasanton-ca-94566/
95421,425000,0,417000,416000,0,0,0,437,http://www.zillow.com/jenner-ca-95421/
94562,0,0,0,0,0,0,0,0,http://www.zillow.com/saint-helena-ca-94562/
94561,0,335800,355800,0,324800,382600,0,203,http://www.zillow.com/bethel-island-ca-94561/
94560,0,621700,648500,0,587300,711900,0,430,http://www.zillow.com/newark-ca-94560/
94614,0,0,0,0,0,0,0,0,http://www.zillow.com/oakland-ca-94614/
94617,0,0,0,0,0,0,0,0,http://www.zillow.com/oakland-ca-94617/
94612,0,365000,531900,557000,0,0,474600,509,http://www.zillow.com/oakland-ca-94612/
95077,0,0,0,0,0,0,0,0,http://www.zillow.com/watsonville-ca-95077/
95075,560000,0,0,0,0,0,0,0,http://www.zillow.com/tres-pinos-ca-95075/
94116,0,1091300,1022800,939300,1084000,1276500,860300,742,http://www.zillow.com/san-francisco-ca-94116/
94117,0,1386300,2331300,1201400,1701400,2569400,1200100,1000,http://www.zillow.com/san-francisco-ca-94117/
94114,0,1463700,1949600,1416500,1960300,2529500,1266000,1126,http://www.zillow.com/san-francisco-ca-94114/
95430,0,0,0,0,0,0,0,0,http://www.zillow.com/bodega-bay-ca-95430/
94957,0,0,2509500,0,1965100,2627600,0,912,http://www.zillow.com/ross-ca-94957/
94954,0,535000,533300,425100,478200,564200,439600,318,http://www.zillow.com/petaluma-ca-94954/
94128,0,0,0,0,0,0,0,0,http://www.zillow.com/san-mateo-county-ca-94128/
94951,0,0,801500,666000,802300,888500,0,428,http://www.zillow.com/penngrove-ca-94951/
94127,0,1411500,1390100,1111200,1442700,1854300,0,857,http://www.zillow.com/san-francisco-ca-94127/
94579,0,491500,502300,400700,485800,609000,0,370,http://www.zillow.com/san-leandro-ca-94579/
94124,0,560000,693800,669800,713700,756600,653800,527,http://www.zillow.com/san-francisco-ca-94124/
94122,0,1126000,1062100,991100,1131400,1290100,1100200,735,http://www.zillow.com/san-francisco-ca-94122/
95439,0,0,0,0,0,0,0,0,http://www.zillow.com/windsor-ca-95439/
95066,0,691400,777900,489900,725100,937800,491600,399,http://www.zillow.com/scotts-valley-ca-95066/
94573,0,0,0,0,0,0,0,0,http://www.zillow.com/saint-helena-ca-94573/
94574,0,0,1005200,831800,981200,1253800,541700,590,http://www.zillow.com/saint-helena-ca-94574/
95433,0,0,0,0,0,0,0,0,http://www.zillow.com/sonoma-ca-95433/
94576,0,0,0,0,0,0,0,0,http://www.zillow.com/calistoga-ca-94576/
94577,0,526600,511000,429500,509000,604700,355800,357,http://www.zillow.com/san-leandro-ca-94577/
94662,0,0,0,0,0,0,0,0,http://www.zillow.com/emeryville-ca-94662/
94607,0,401200,471000,469000,508300,515800,455700,441,http://www.zillow.com/oakland-ca-94607/
94603,0,306500,280800,271200,291700,349700,0,266,http://www.zillow.com/oakland-ca-94603/
95135,0,743000,1273000,571300,908200,1250200,598900,481,http://www.zillow.com/san-jose-ca-95135/
95033,0,0,946400,755500,988100,1266000,0,577,http://www.zillow.com/santa-clara-county-ca-95033/
94044,0,753500,787400,640400,771700,900000,0,591,http://www.zillow.com/pacifica-ca-94044/
95041,0,0,0,0,0,0,0,0,http://www.zillow.com/felton-ca-95041/
95138,0,716000,1240400,548400,710300,1052200,566800,476,http://www.zillow.com/san-jose-ca-95138/
94804,0,345200,329000,311300,350100,367000,0,306,http://www.zillow.com/richmond-ca-94804/
94041,0,1279500,1529600,1134700,1478800,1727500,977600,918,http://www.zillow.com/mountain-view-ca-94041/
95045,0,0,510300,0,0,0,0,246,http://www.zillow.com/hollister-ca-95045/
94043,0,938900,1347800,840800,1138000,1400700,893200,745,http://www.zillow.com/mountain-view-ca-94043/
94960,0,1135300,1046200,779700,1006900,1342000,0,582,http://www.zillow.com/san-anselmo-ca-94960/
95207,0,193500,206700,0,195600,239900,75400,130,http://www.zillow.com/lincoln-village-ca-95207/
95046,0,0,914700,0,846100,1070500,0,464,http://www.zillow.com/san-martin-ca-95046/
95206,0,185900,184600,92800,170700,0,0,0,http://www.zillow.com/discovery-bay-ca-95206/
94805,0,353800,413100,337300,444100,517400,0,326,http://www.zillow.com/richmond-ca-94805/
94132,0,620000,979400,754100,1113900,1340500,599800,669,http://www.zillow.com/san-francisco-ca-94132/
95050,0,765000,873600,697100,861500,1013100,616100,605,http://www.zillow.com/santa-clara-ca-95050/
95052,0,0,0,0,0,0,0,0,http://www.zillow.com/santa-clara-ca-95052/
95053,0,0,0,0,0,0,0,0,http://www.zillow.com/santa-clara-ca-95053/
95403,0,447800,467300,272000,437200,522200,249200,286,http://www.zillow.com/santa-rosa-ca-95403/
95402,0,0,0,0,0,0,0,0,http://www.zillow.com/santa-rosa-ca-95402/
95401,0,410500,415200,340200,407500,448400,244900,297,http://www.zillow.com/santa-rosa-ca-95401/
95406,0,0,0,0,0,0,0,0,http://www.zillow.com/santa-rosa-ca-95406/
95405,0,454200,501700,399200,478300,602400,319500,319,http://www.zillow.com/santa-rosa-ca-95405/
95404,0,544800,582500,427600,562300,768600,330000,347,http://www.zillow.com/santa-rosa-ca-95404/
94038,0,0,945600,831400,929200,1105200,0,569,http://www.zillow.com/moss-beach-ca-94038/
94509,0,303300,294400,195100,277200,343000,150600,189,http://www.zillow.com/antioch-ca-94509/
94508,802800,0,0,0,0,0,0,0,http://www.zillow.com/angwin-ca-94508/
94505,0,445700,546800,0,560300,539700,0,233,http://www.zillow.com/discovery-bay-ca-94505/
94030,0,1244400,1403200,958400,1346700,1673700,772900,802,http://www.zillow.com/millbrae-ca-94030/
94506,0,1197000,1270300,804500,916700,1244200,705800,428,http://www.zillow.com/danville-ca-94506/
94501,0,802800,845200,675200,860400,987900,503400,523,http://www.zillow.com/alameda-ca-94501/
