zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
94002,STANDARD,Belmont,,,CA,San Mateo County,America/Los_Angeles,"650,415",37.5,-122.3,NA,US,0,23092,
94005,STANDARD,Brisbane,,,CA,San Mateo County,America/Los_Angeles,"415,650",37.68,-122.41,NA,US,0,4345,
94010,STANDARD,Burlingame,Hillsborough,,CA,San Mateo County,America/Los_Angeles,"415,650",37.56,-122.37,NA,US,0,35172,
94011,PO BOX,Burlingame,,,CA,San Mateo County,America/Los_Angeles,650,37.57,-122.34,NA,US,0,973,
94013,UNIQUE,Daly City,Sf International Service Ctr,,CA,San Mateo County,America/Los_Angeles,650,37.7,-122.45,NA,US,1,0,Converted Decommisioned Zipcodes
94014,STANDARD,Daly City,Colma,,CA,San Mateo County,America/Los_Angeles,"415,650,510",37.68,-122.43,NA,US,0,36989,
94015,STANDARD,Daly City,Broadmoor Vlg,,CA,San Mateo County,America/Los_Angeles,"650,415",37.67,-122.47,NA,US,0,49650,
94016,PO BOX,Daly City,,,CA,San Mateo County,America/Los_Angeles,650,37.7,-122.45,NA,US,0,0,
94017,PO BOX,Daly City,,,CA,San Mateo County,America/Los_Angeles,650,37.69,-122.47,NA,US,0,895,
94018,PO BOX,El Granada,,,CA,San Mateo County,America/Los_Angeles,650,37.5,-122.47,NA,US,0,3353,
94019,STANDARD,Half Moon Bay,,Princeton By The Sea,CA,San Mateo County,America/Los_Angeles,"650,415",37.44,-122.41,NA,US,0,12963,
94020,STANDARD,La Honda,,,CA,San Mateo County,America/Los_Angeles,650,37.28,-122.24,NA,US,0,1307,
94021,STANDARD,Loma Mar,,,CA,San Mateo County,America/Los_Angeles,650,37.27,-122.26,NA,US,0,0,
94022,STANDARD,Los Altos,Los Altos Hills,,CA,Santa Clara County,America/Los_Angeles,"650,408",37.36,-122.14,NA,US,0,17620,
94023,PO BOX,Los Altos,,,CA,Santa Clara County,America/Los_Angeles,650,37.37,-122.11,NA,US,0,687,
94024,STANDARD,Los Altos,Los Altos Hills,,CA,Santa Clara County,America/Los_Angeles,"650,916,408",37.34,-122.11,NA,US,0,20665,
94025,STANDARD,Menlo Park,"W Menlo Park, West Menlo Park",,CA,San Mateo County,America/Los_Angeles,"650,510,408,415",37.45,-122.17,NA,US,0,32613,
94026,PO BOX,Menlo Park,,West Menlo Park,CA,San Mateo County,America/Los_Angeles,650,37.47,-122.18,NA,US,0,1186,
