ZIP, City, County, State, Year_1996, Year_1997, Year_1998, Year_1999, Year_2000, Year_2001, Year_2002, Year_2003, Year_2004, Year_2005, Year_2006, Year_2007, Year_2008, Year_2009, Year_2010, Year_2011, Year_2012, Year_2013, Year_2014, Year_2015
94506, Danville, Contra Costa, CA, 417700.00, 459454.17, 501562.50, 570520.83, 682020.83, 716984.83, 735687.50, 788062.50, 900466.67, 1056116.67, 1154020.83, 1076308.33, 1023966.67, 881775.00, 862018.75, 850108.33, 828929.76, 962583.33, 1092479.17, 1114200.00
95120, San Jose, Santa Clara, CA, 366122.22, 404054.17, 466883.33, 512691.67, 671867.42, 669759.08, 683704.17, 699012.50, 776675.00, 894629.17, 1003677.81, 966895.83, 966507.39, 854119.41, 885864.58, 849427.08, 876135.25, 986075.00, 1168075.00, 1273340.00
95030, Los Gatos, Santa Clara, CA, 586360.29, 628367.24, 758779.26, 775146.15, 1082982.69, 1097500.00, 998641.03, 1034119.49, 1329569.84, 1358076.28, 1596515.84, 1622203.89, 1629500.00, 1263696.27, 1461480.77, 1232022.17, 1464940.27, 1601202.35, 2021954.54, 2032965.69
94533, Fairfield, Solano, CA, 127700.00, 122925.00, 129304.17, 136841.67, 159362.50, 194572.92, 246956.25, 267041.67, 321270.83, 402604.17, 401573.75, 363013.75, 211672.88, 157238.58, 166533.33, 170208.33, 165916.67, 199625.00, 258827.08, 264435.00
94404, Foster City, San Mateo, CA, 295130.56, 307204.17, 360115.88, 392628.38, 534004.17, 524041.67, 517683.33, 538554.17, 620516.67, 739741.67, 731846.67, 745520.83, 769447.92, 680127.35, 697856.25, 653339.58, 671104.17, 747265.51, 798908.33, 927900.00
94401, San Mateo, San Mateo, CA, 210072.22, 224909.38, 255362.50, 306239.58, 369106.25, 413820.83, 429600.00, 450483.33, 492304.17, 584875.00, 653166.67, 603425.00, 521129.94, 472456.91, 467973.26, 419677.08, 475087.72, 554774.57, 637380.50, 643900.00
94402, San Mateo, San Mateo, CA, 397750.00, 461724.39, 489157.17, 553666.67, 668433.33, 743650.00, 730241.67, 786279.17, 828772.92, 965768.75, 1002775.00, 1059108.33, 1085120.40, 982981.70, 990492.38, 917949.25, 917523.10, 1012185.55, 1163795.74, 1822235.29
94568, Dublin, Alameda, CA, 192027.78, 199485.42, 217352.08, 262020.83, 392641.67, 500556.25, 474085.42, 508841.67, 515083.33, 579812.50, 614404.17, 589039.58, 514720.83, 462897.92, 528214.58, 511631.25, 513108.33, 604535.42, 652187.50, 648300.00
95425, Cloverdale, Sonoma, CA, 133500.00, 149300.45, 184422.24, 211020.83, 253356.25, 271289.84, 298828.11, 338406.25, 407016.67, 508766.67, 481979.09, 472500.00, NA, 255000.00, 242117.65, NA, 266568.63, 338431.37, 352647.06, 435000.00
94566, Pleasanton, Alameda, CA, 295652.78, 313606.00, 353645.83, 379000.00, 487062.50, 505447.92, 546694.17, 582189.58, 662518.75, 799347.92, 850068.75, 864270.83, 792348.78, 776259.15, 740912.50, 754054.17, 708145.83, 827437.50, 907691.67, 955044.06
94565, Pittsburg, Contra Costa, CA, 121002.78, 117887.50, 126033.33, 146000.00, 173237.50, 223258.33, 259617.08, 299766.67, 346891.67, 426804.17, 451943.75, 430768.75, 308561.76, 180110.42, 181895.83, 165167.08, 170070.83, 242233.33, 287537.50, 303810.00
94564, Pinole, Contra Costa, CA, 163269.41, 162202.45, 173149.02, 200581.25, 252602.08, 307245.83, 327858.33, 369107.47, 431437.50, 523312.50, 528823.46, 513384.59, 347500.00, 311764.71, 305341.63, 262669.09, 253250.00, 319487.18, 376584.87, 420294.12
94563, Orinda, Contra Costa, CA, 428177.78, 427783.33, 480291.67, 560645.83, 658104.17, 744507.31, 744779.17, 791316.14, 947085.09, 1101658.24, 1140878.68, 1154930.25, 1159696.66, 905030.70, 969455.97, 899519.88, 984042.82, 1108516.12, 1214155.08, 1372004.90
94561, Oakley, Contra Costa, CA, 150783.33, 146591.67, 148558.33, 169208.33, 196081.42, 241187.50, 268391.67, 306233.33, 370479.17, 454625.00, 483916.67, 457062.50, 379825.00, 243204.17, 215560.42, 210270.83, 220750.00, 279291.67, 327316.67, 340270.00
94560, Newark, Alameda, CA, 176750.00, 195562.50, 216187.50, 241750.00, 310583.33, 368591.67, 379137.50, 408241.67, 465716.67, 580625.00, 610800.00, 586063.64, 461330.39, 359110.72, 371141.67, 337952.08, 358772.92, 436122.92, 548171.00, 607145.00
94118, San Francisco, San Francisco, CA, 420221.51, 405050.00, 517416.67, 639041.67, 809100.00, 774739.92, 751173.53, 706671.29, 822072.73, 983468.79, 981629.21, 1059917.42, 1159533.82, 1111522.06, 1018603.76, 1073566.01, 1038473.25, 1041148.76, 1454056.40, 1852941.18
94611, Oakland, Alameda, CA, 321583.33, 334491.67, 341549.55, 370445.45, 488841.67, 497666.67, 581395.83, 612270.83, 688754.17, 777829.17, 792116.67, 777550.00, 769576.18, 727945.59, 751286.40, 745876.33, 724087.50, 755264.79, 800062.50, 815550.00
94610, Oakland, Alameda, CA, 177784.54, 202730.00, 180675.00, 179406.82, 210973.08, 283943.75, 307215.00, 386507.31, 368566.67, 462319.42, 489811.26, 589008.14, 322058.82, 643356.30, 633987.49, 471750.06, 607151.67, 575926.65, 573721.80, 438000.00
94612, Oakland, Alameda, CA, NA, NA, NA, NA, NA, NA, NA, NA, 323235.29, NA, NA, NA, 349000.00, NA, 365000.00, NA, NA, NA, NA, NA
94112, San Francisco, San Francisco, CA, 202333.33, 226166.67, 249050.00, 290491.67, 364418.75, 418497.92, 451837.50, 497325.00, 588804.17, 680937.50, 706704.17, 694937.50, 611595.83, 541512.50, 525433.33, 504187.50, 522537.50, 628402.08, 735002.08, 764390.00
95003, Aptos, Santa Cruz, CA, 243322.22, 272675.00, 305583.33, 360254.17, 452016.67, 493687.50, 488666.67, 543991.67, 640445.83, 742679.17, 771683.33, 736454.17, 760402.38, 622223.20, 566138.98, 538700.72, 544525.75, 607833.92, 681095.59, 655930.00
94110, San Francisco, San Francisco, CA, 223930.56, 247047.92, 287545.83, 343862.50, 470729.17, 478921.91, 516384.26, 543481.00, 639508.33, 734229.17, 753179.17, 775208.33, 727837.50, 720858.53, 740000.17, 718975.00, 761034.03, 902591.67, 1066873.82, 1230458.37
94111, San Francisco, San Francisco, CA, 172358.46, NA, NA, NA, 538000.00, NA, 369000.00, NA, 405000.00, 685000.00, NA, 881941.18, NA, NA, NA, NA, NA, NA, NA, NA
94116, San Francisco, San Francisco, CA, 270894.44, 296287.50, 333712.50, 382520.83, 471912.50, 527458.33, 558041.67, 598637.50, 697654.17, 804604.17, 792145.83, 815831.25, 786989.58, 715512.50, 717132.29, 677895.83, 717392.95, 791444.69, 967379.93, 1092181.37
94117, San Francisco, San Francisco, CA, 321441.83, 311832.50, 392543.18, 475548.08, 636124.86, 675128.58, 596979.17, 642179.39, 726541.67, 818342.18, 765064.71, 870256.82, 1037756.98, 799351.92, 830658.77, 895442.60, 952407.35, 1039143.03, 1128229.07, 1380710.78
94114, San Francisco, San Francisco, CA, 373750.00, 398875.00, 446887.50, 543050.00, 731447.92, 720477.08, 716220.83, 766458.33, 887145.83, 1016583.33, 1035604.17, 1111250.00, 1034929.17, 944886.65, 965629.17, 924658.33, 1127332.93, 1185767.69, 1411452.38, 1408710.29
94115, San Francisco, San Francisco, CA, 355883.00, 351754.55, 426937.50, 511259.09, 617604.17, 626835.47, 634950.00, 689107.10, 702204.17, 814900.00, 822854.17, 928164.63, 933277.09, 839438.24, 929876.19, 828204.78, 939449.35, 908231.82, 1123899.55, 1257200.00
94954, Petaluma, Sonoma, CA, 201709.59, 206689.58, 224162.67, 256428.38, 347188.58, 354848.88, 373345.83, 423125.00, 488442.08, 576020.83, 584358.75, 552958.33, 436390.58, 386790.25, 368437.82, 342763.44, 354805.32, 417147.92, 479560.42, 510564.96
94952, Petaluma, Sonoma, CA, 225577.78, 231741.67, 228854.17, 270547.92, 325210.42, 380929.17, 398778.42, 451604.17, 508575.00, 619508.33, 653937.50, 608204.55, 520287.43, 460075.44, 443357.09, 410687.50, 484274.48, 532809.62, 588887.14, 541850.68
