ID	Zipcode	City	GSID	School Name	Grade Range	School Type	Grade Level	Alternative/Special	School Ratings	Median List Price	Median Sale Price	Median Single Family Home Value	Median 2-Bedroom Home Value	Median 3-Bedroom Home Value	Median 4-Bedroom Home Value	Median Condo Value	Median List Price Per Sq Ft	For Sale Link	Quality Score	Appreciation Score
1	94010	Burlingame	26550	Bsd Preschool	K-2	public	Elementary	No	None	0	1707100	2370600	1259900	1889200	3034000	880200	1017	http://www.zillow.com/burlingame-ca-94010/	52.077622	49.46209354
2	94010	Burlingame	6860	North Hillsborough School	K-5	public	Elementary	No	10	0	1707100	2370600	1259900	1889200	3034000	880200	1017	http://www.zillow.com/burlingame-ca-94010/	52.077622	49.46209354
3	94010	Burlingame	6861	South Hillsborough School	K-5	public	Elementary	No	10	0	1707100	2370600	1259900	1889200	3034000	880200	1017	http://www.zillow.com/burlingame-ca-94010/	52.077622	49.46209354
4	94010	Burlingame	6862	West Hillsborough School	K-5	public	Elementary	No	10	0	1707100	2370600	1259900	1889200	3034000	880200	1017	http://www.zillow.com/burlingame-ca-94010/	52.077622	49.46209354
5	94010	Burlingame	6859	Crocker Middle School	6-8	public	Middle	No	9	0	1707100	2370600	1259900	1889200	3034000	880200	1017	http://www.zillow.com/burlingame-ca-94010/	52.077622	49.46209354
6	94010	Burlingame	6846	Burlingame Intermediate School	6-8	public	Middle	No	8	0	1707100	2370600	1259900	1889200	3034000	880200	1017	http://www.zillow.com/burlingame-ca-94010/	52.077622	49.46209354
7	94010	Burlingame	6976	Burlingame High School	9-12	public	High	No	8	0	1707100	2370600	1259900	1889200	3034000	880200	1017	http://www.zillow.com/burlingame-ca-94010/	52.077622	49.46209354
8	94019	Half Moon Bay	6858	Pilarcitos Alternative High (Continuation) School	9-12	public	High	Yes	None	0	949100	981400	728400	926100	1133100	574400	548	http://www.zillow.com/half-moon-bay-ca-94019/	54.906536	18.38658785
9	94019	Half Moon Bay	6857	Kings Mountain Elementary School	K-5	public	Elementary	No	10	0	949100	981400	728400	926100	1133100	574400	548	http://www.zillow.com/half-moon-bay-ca-94019/	54.906536	18.38658785
10	94019	Half Moon Bay	6852	Manuel F. Cunha Intermediate School	6-8	public	Middle	No	7	0	949100	981400	728400	926100	1133100	574400	548	http://www.zillow.com/half-moon-bay-ca-94019/	54.906536	18.38658785
11	94019	Half Moon Bay	6855	Half Moon Bay High School	9-12	public	High	No	7	0	949100	981400	728400	926100	1133100	574400	548	http://www.zillow.com/half-moon-bay-ca-94019/	54.906536	18.38658785
12	94019	Half Moon Bay	6853	El Granada Elementary School	K-5	public	Elementary	No	5	0	949100	981400	728400	926100	1133100	574400	548	http://www.zillow.com/half-moon-bay-ca-94019/	54.906536	18.38658785
13	94019	Half Moon Bay	6856	Alvin S. Hatch Elementary School	K-5	public	Elementary	No	4	0	949100	981400	728400	926100	1133100	574400	548	http://www.zillow.com/half-moon-bay-ca-94019/	54.906536	18.38658785
14	94020	La Honda	16967	Camp Glenwood School	9-12	public	High	No	None	0	0	882200	0	0	0	0	708	http://www.zillow.com/loma-mar-ca-94020/	66.380438	0
